date,number,total,a,b,c,d,e,f,g,h,i,median income,error1,mean income,error2
2020,129931.00,100.00,9.40,8.70,8.10,11.60,16.50,12.20,15.30,8.00,10.30,67521.00,782.00,97026.00,1043.00
2019,128451.00,100.00,8.90,8.00,8.30,11.60,16.50,12.20,15.70,8.40,10.50,69560.00,916.00,99312.00,1055.00
2018,128579.00,100.00,10.00,8.70,8.40,12.00,16.90,12.50,15.10,7.30,9.00,65127.00,712.00,92796.00,925.00
2017,127669.00,100.00,9.90,9.00,9.20,12.00,16.30,12.20,14.90,7.30,9.20,64557.00,559.00,92547.00,991.00
2017,127586.00,100.00,10.00,9.10,9.10,11.90,16.20,12.40,15.10,7.50,8.80,64806.00,582.00,91044.00,903.00
2016,126224.00,100.00,10.20,9.10,9.10,12.30,16.30,12.50,15.00,7.40,8.20,63683.00,774.00,89683.00,832.00
2015,125819.00,100.00,10.50,9.70,9.70,11.90,16.20,12.40,15.00,7.20,7.40,61748.00,577.00,86601.00,724.00
2014,124587.00,100.00,11.30,10.10,9.50,12.60,16.50,12.10,14.10,6.70,7.00,58725.00,706.00,82892.00,803.00
2013,123931.00,100.00,11.30,10.20,9.30,12.00,17.20,12.00,14.10,6.70,7.20,59640.00,1197.00,83691.00,1216.00
2013,122952.00,100.00,11.20,10.40,9.70,12.30,17.50,12.40,13.90,6.40,6.20,57808.00,505.00,80849.00,914.00
2012,122459.00,100.00,11.30,10.50,9.90,12.60,17.20,12.20,14.00,6.30,6.10,57623.00,388.00,80503.00,782.00
2011,121084.00,100.00,11.20,10.30,10.10,13.10,17.10,11.90,13.90,6.30,6.00,57732.00,476.00,80366.00,698.00
2010,119927.00,100.00,11.10,10.60,9.40,13.10,16.80,12.20,14.30,6.30,6.10,58627.00,636.00,80180.00,705.00
2009,117538.00,100.00,10.30,9.90,9.40,13.40,17.30,12.50,14.50,6.50,6.20,60200.00,424.00,82210.00,483.00
2008,117181.00,100.00,10.30,9.80,9.50,13.10,17.10,12.40,15.10,6.50,6.20,60624.00,272.00,82464.00,480.00
2007,116783.00,100.00,9.50,9.60,9.40,12.10,17.40,12.80,15.60,7.00,6.60,62865.00,288.00,84611.00,486.00
2006,116011.00,100.00,9.50,9.40,9.40,12.70,17.60,12.70,15.20,6.80,6.70,62033.00,438.00,85673.00,544.00
2005,114384.00,100.00,10.00,9.50,9.60,12.50,17.60,13.00,14.90,6.50,6.40,61553.00,339.00,84164.00,522.00
